Isaxs=       1
   Rg=  14.85
  0.05       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.15       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.25       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.35       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.45       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.55       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.65       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.75       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.85       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.95       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.05       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.15       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.25       0       0       0       0       0       0       0     206       0       0       0       0       0       0       0
  1.35       0       0       0       0       0      50     172       4       0       0       0       0       0       0       0
  1.45       0       0       0       0       0      10      16      12       0       0       0       0       0       0       0
  1.55       0       0       0       0       0     508       0       0       0       0       0       0       0       0       0
  1.65      36       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.75     528       0       0       6       0       0       0       0       0       0       0       0       0       0       0
  1.85       1       0       0       4       0       0       0       0       2       0       0       0       0       0       0
  1.95      21       4       0       5       0       0       0       0       0       0       0       0       0       0       0
  2.05     109      20       8      20       0       0       0       0       0       0       0       0       0       0       0
  2.15     108     838      28       1       0       2       2       0       0       2       0       0      21       0       0
  2.25     258       0       0      20       0       2       0       0       0       5       0       0       3       0       0
  2.35     265       0       2      10       4      38       3     128       0       7       0       0       0       0       0
  2.45     301      36      57      60       0     210     166      98       0       0       0       0       0       0       0
  2.55     263     242      38     121       0     378       7       0       0       0       2       0       2       0       0
  2.65     298     196      28      39       0      12       0       0       0       0       6       0       4       0       0
  2.75     250     191      28      70       0      26       0       8       2      46      21       0       0       0       0
  2.85     273     178      37      69       2       0       8      21       0      32      38       0       5       0       0
  2.95     425     135      28      47       2      49      10      25       0       2      19       0       2       0       0
  3.05     351     119      51      63       0      90      20      36       0       0       9       0       0       0       0
  3.15     173     151      41      71       0      34      43      41       0       0       8       0       3       0       0
  3.25     190     112     129     116       0      57      68      51       0       3       4       0      11       0       0
  3.35     214     180      71      60       0      59      44      62       0       9       7       0      17       0       0
  3.45     264     182      45      53       0      58      32      37       0      14      32       0      32       0       0
  3.55     439      85      53      59       0      63      24      44       0      23      44       0      25       0       0
  3.65     421     109      31      42       0      83      35      49       0      17      23       0      10       0       0
  3.75     383     149      41      56       0     171      40      46       0       4       3       0      13       0       0
  3.85     321     143      59      58       0     281      34      72       0       2       2       0      17       0       0
  3.95     411     289      98      47       0      85      36      48       0       2       1       0      18       0       0
  4.05     413     263      68      78       2      83      32      60       0       2       1       0       4       0       0
  4.15     445     260      67      67       0      84      45      59       2       3       8       0      13       0       0
  4.25     480     246      76     105       2     139      74      56       0      42       8       0      17       0       0
  4.35     534     257      76     108       4     171      70      77       0      23       8       0      13       0       0
  4.45     550     273      93      73       0     295      76      68       0      11       3       0      12       0       0
  4.55     573     398      68      85       4     312      68      54       0       3       7       0      12       0       0
  4.65     608     396      87      84       1     307      78      65       0      10      24       0      37       2       0
  4.75     661     401     110     108       0     313      54      52       0      22      18       0      30       0       0
  4.85     608     340     120     102       2     383      45      46       0      43      13       0      35       0       0
  4.95     624     406     131     106       1     267      44      60       2      16      15       0      39       0       0
  5.05     620     413     111      98       1     276      32      64       0      12      14       2      44       0       0
  5.15     652     418      80     129       1     267      74      41       0      18      21       2      54       0       0
  5.25     699     438      80     105       0     315      80      66       2      19      14       0      16       0       0
  5.35     768     464      82     101       0     355      90      98       2      18       9       0      19       0       0
  5.45     775     472     103     102       1     437      83      75       0      17      16       0      20       0       0
  5.55     867     475     117     124       0     377     112      96       3      14      15       0       5       0       0
  5.65     919     471     131     128       0     295     120      67       1      14      19       0       7       0       0
  5.75     865     606     155     150       2     392      99      96       2      15      39       0      22       0       0
  5.85     888     504     183     119       0     385      95      80       2      19      34       0      21       2       0
  5.95     845     556     140     154       1     445     133      79       2      27      23       0      32       0       0
  6.05     881     608     149     166       2     394     106      96       0      23      15       0      40       1       0
  6.15     963     678     161     152       0     465      88      89       0      20      32       0      27       1       0
  6.25     938     660     158     176       2     403      85     103       0      24      34       2      17       0       0
  6.35    1012     651     166     177       1     331      83     102       2      29      26       0      33       0       0
  6.45    1080     727     160     217       0     432      91      92       4      21      11       0      31       0       0
  6.55    1050     695     179     225       3     431      89     113       2      16      20       0      24       0       0
  6.65    1172     720     159     190       4     490     102     115       0      24      28       0      38       0       0
  6.75    1130     665     167     155       0     438     102     146       0      16      35       0      43       2       0
  6.85    1130     731     149     147       4     463      97     133       0      21      33       0      36       0       0
  6.95    1201     771     183     189       0     492     103     122       0      26      40       0      28       2       0
  7.05    1218     755     174     171       2     505     101     108       0      27      37       0      24       0       0
  7.15    1181     774     221     211       0     502     101     118       0      22      20       0      30       0       0
  7.25    1293     822     190     193       0     531      86     167       0      22      44       0      36       0       0
  7.35    1231     795     202     196       0     453     107     119       0      15      24       0      22       0       0
  7.45    1325     838     177     220       4     516     128     120       2      26      31       0      38       0       0
  7.55    1392     825     159     234       3     508     129     145       2      20      29       4      30       2       0
  7.65    1250     881     209     208       1     471     107     158       0      16      52       0      28       0       0
  7.75    1386     845     203     260       3     477     106     146       0      10      39       2      47       0       0
  7.85    1416     849     226     261       5     488     137     176       2      31      51       0      39       0       0
  7.95    1392     856     191     269       1     521     118     169       2      25      46       0      32       0       0
  8.05    1488     822     219     248       2     459     152     222       0      37      21       0      36       0       0
  8.15    1446     877     225     268       4     569     135     188       2      31      42       0      49       2       0
  8.25    1563     965     209     286       1     534      92     197       4      35      25       0      51       0       0
  8.35    1525     901     206     275       3     576     165     178       0      43      19       2      40       0       0
  8.45    1563     906     235     286       3     573     118     194       4      28      49       0      58       0       0
  8.55    1528     980     208     306       4     587     136     172       0      27      27       0      64       2       0
  8.65    1562     966     230     304       0     592     124     162       0      22      26       0      44       2       0
  8.75    1561     943     236     271       0     590     140     173       2      26      38       0      56       0       0
  8.85    1607     916     317     316       2     597     172     140       2      24      42       0      54       0       0
  8.95    1730    1007     279     345       6     646     187     155       0      26      39       0      43       0       0
  9.05    1727    1070     242     348       4     586     149     214       4      28      33       2      34       0       0
  9.15    1732    1034     243     300       2     633     145     225       2      39      52       0      53       0       0
