 0.208700E-01  0.100018E+01 
 0.257620E-01  0.100027E+01 
 0.374980E-01  0.100057E+01 
 0.492380E-01  0.100097E+01 
 0.609770E-01  0.100146E+01 
 0.727150E-01  0.100203E+01 
 0.844530E-01  0.100267E+01 
 0.961950E-01  0.100335E+01 
 0.107930E+00  0.100406E+01 
 0.119670E+00  0.100475E+01 
 0.131400E+00  0.100540E+01 
 0.143150E+00  0.100595E+01 
 0.154880E+00  0.100636E+01 
 0.166620E+00  0.100656E+01 
 0.178350E+00  0.100649E+01 
 0.190100E+00  0.100623E+01 
 0.201820E+00  0.100612E+01 
 0.213550E+00  0.100686E+01 
 0.225300E+00  0.100904E+01 
 0.237030E+00  0.101215E+01 
 0.248750E+00  0.101481E+01 
 0.260500E+00  0.101606E+01 
 0.272220E+00  0.101579E+01 
 0.283950E+00  0.101427E+01 
 0.295700E+00  0.101182E+01 
 0.307420E+00  0.100877E+01 
 0.319150E+00  0.100552E+01 
 0.330880E+00  0.100259E+01 
 0.342600E+00  0.100053E+01 
 0.354350E+00  0.999718E+00 
 0.366070E+00  0.100017E+01 
 0.377800E+00  0.100143E+01 
 0.389520E+00  0.100274E+01 
 0.401250E+00  0.100332E+01 
 0.412970E+00  0.100261E+01 
 0.424700E+00  0.100030E+01 
 0.436400E+00  0.996267E+00 
 0.448150E+00  0.990473E+00 
 0.459850E+00  0.983027E+00 
 0.471580E+00  0.973999E+00 
 0.483300E+00  0.963557E+00 
 0.495000E+00  0.951873E+00 
 0.506730E+00  0.939120E+00 
 0.518450E+00  0.925661E+00 
 0.530150E+00  0.911892E+00 
 0.541870E+00  0.898147E+00 
 0.553600E+00  0.884804E+00 
 0.565300E+00  0.872266E+00 
 0.577000E+00  0.860843E+00 
 0.588700E+00  0.850869E+00 
