Isaxs=       1
   Rg=  26.63
  0.05       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.15       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.25       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.35       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.45       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.55       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.65       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.75       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.85       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  0.95       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.05       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.15       0       0       0       0       0       0       0       0       0       0       0       0       0       0       0
  1.25       0       0       0       0       0       0       0     983       0       0       0       0       0       0       0
  1.35       0       0       0       0       0     300     955      18       0       0       0       0       0       0       0
  1.45       0       0       0       0       0      98      77      67       0       0       0       0       0       0       0
  1.55       0       0       0       0       0    2387       0       0       0       0       0       0       0       0       0
  1.65      96       0       0       6       0       0       0       0       0       0       0       0       0       0       0
  1.75    2441       0       0       7       0       0       0       0       0       0       0       0       0       0       0
  1.85       3       0       0       7       0       0       0       0      29       0       0       0       0       0       0
  1.95     259      44       0       6       0       0       0       0       0       0       0       0       0       0       0
  2.05     483      86      89     118       0       0       0       0       0       0       0       0       0       0       0
  2.15     674    4023     110       9       0      17      17       0       0      17       0       0      89       0       0
  2.25    1255       0       0     126       0      53      24       0       0      45       0       0       0       0       0
  2.35    1178       0      31     101      58     221       6     525       0      87       0       0       0       0       0
  2.45    1523     315     276     224       0    1075     875     561       0       0       0       0      25       0       0
  2.55    1346    1230     229     601       0    1812      18       0       0       0      13       0      26       0       0
  2.65    1457     951     216     272      15      27       0       0       0      11      51       0      20       0       0
  2.75    1392     894     215     222      10     158       0     113      23     265     109       0      26       0       0
  2.85    1370     706     250     266      13      15      88     117       6     144      80       0      28       0       0
  2.95    2000     599     242     299      17     422      90     112       0      39      62       0      32       2       0
  3.05    1569     657     254     337      11     422     185     142       0      20      55       0      40       0       0
  3.15     974     818     330     389       5     275     326     196       1      17      35       3      51       0       0
  3.25    1075     671     711     490      10     248     278     299       3      26      35       1      60       2       0
  3.35    1096    1058     434     268       5     317     211     314      10      28      39       1     101       2       0
  3.45    1786    1039     269     218       5     311     160     223       4      49     179       0     139       1       0
  3.55    2324     561     238     273      17     381     177     167      10      70     259       0      94       1       0
  3.65    1906     594     260     291      14     555     288     273       9     108      76       3      85       0       0
  3.75    1882     731     261     335      11     979     307     246       8      19      30       3      81       3       0
  3.85    1918     956     353     316      16    1267     273     302       7      27      27       2      55       0       0
  3.95    1998    1356     468     359      13     416     231     301       8      21      30       0      79       2       0
  4.05    2246    1501     494     357       9     447     255     287       8      36      36       3      66       2       0
  4.15    2145    1404     437     401       6     627     307     266      13      63      42       2      74       1       0
  4.25    2603    1407     473     600      12     796     355     285       7     144      55       1      75       3       0
  4.35    2686    1467     488     597      24    1122     431     299       9     141      45       1      86       1       0
  4.45    3054    1494     527     412      21    1836     420     247      13     110      58       5      97       3       0
  4.55    2985    2004     450     479      15    1510     438     317       9      95      76       3     113       3       0
  4.65    3257    1986     505     450      17    1483     392     322       9     110      80       3     128       4       0
  4.75    3333    2020     623     484      10    1599     393     302      13     139      74       5     193       4       0
  4.85    3427    2067     699     527      20    1919     342     310       9     156      70       5     238       3       0
  4.95    3573    2112     695     491      22    1622     331     303      14     129      96       3     265       1       0
  5.05    3528    2133     698     572      16    1633     345     318      13      93     100       1     220       4       0
  5.15    3736    2287     698     564      13    1499     387     334      11     115     107       3     211       2       0
  5.25    3959    2561     670     597      15    1682     411     441       9      94      96       5     153       6       0
  5.35    4082    2555     689     555      18    1936     477     458      19      91     113       4     127       5       0
  5.45    4224    2718     718     649      18    2118     502     460      22     110     100       2      89       7       0
  5.55    4471    2730     770     678      20    1961     568     531      15     114     107       5     132       5       1
  5.65    4666    2845     801     781      12    2022     562     522      12     128     129       4     135       3       1
  5.75    4700    3107     871     773      22    2056     579     466      14     106     254       2     164       9       0
  5.85    4763    2967     905     769      28    2095     567     533      19     139     210       4     144       5       0
  5.95    4949    3117     892     867      25    2152     628     519      14     154     152       1     168       8       0
  6.05    4836    3202     927     924      30    2154     686     517      16     169     158       7     169       5       0
  6.15    5255    3485     911     936      23    2326     605     573      13     203     139       2     190       4       0
  6.25    5341    3486     955     889      28    2243     593     683      18     186     153       3     193       6       0
  6.35    5593    3722    1066     991      20    2238     594     607      23     147     163       5     219       5       0
  6.45    5783    3804    1063    1143      28    2259     600     658      19     153     160      10     184       5       0
  6.55    6063    3838    1045    1145      30    2409     636     665      22     153     156       6     172       4       0
  6.65    6148    3891    1126    1099      34    2662     679     710      23     143     178      10     183      11       0
  6.75    6130    4040    1119    1064      38    2634     671     745      25     159     231       8     191       5       0
  6.85    6311    4002    1201    1013      37    2886     744     722      16     149     258       9     177       4       0
  6.95    6707    4300    1122    1079      31    2753     699     742      25     193     233       8     209       7       1
  7.05    6724    4458    1209    1108      41    2746     719     743      26     197     213       6     199      10       0
  7.15    6829    4416    1165    1111      33    2806     705     761      32     202     195       9     205       8       0
  7.25    7054    4584    1176    1192      39    2813     752     759      30     179     210      11     207      11       1
  7.35    7093    4738    1295    1231      27    2875     744     794      24     197     215       4     233       6       0
  7.45    7299    4980    1342    1201      40    2812     811     829      31     195     213       8     204       7       0
  7.55    7480    4897    1315    1323      38    2956     776     831      21     189     235       9     243       5       0
  7.65    7630    5068    1376    1387      42    2863     851     888      24     237     237      10     218       7       1
  7.75    7869    4946    1375    1496      38    2936     892     895      24     217     278       9     231      10       1
  7.85    8055    5110    1397    1538      55    3162     885     962      26     224     243       8     243      11       1
  7.95    8321    4890    1399    1442      50    3231     893     993      23     217     237       6     242       6       1
  8.05    8409    5117    1410    1572      37    3122     858    1015      31     289     241       4     281       8       1
  8.15    8671    5187    1404    1616      56    3206     935    1047      33     260     217       5     257       6       1
  8.25    8728    5308    1451    1682      40    3399     908    1035      18     246     234      10     313       8       0
  8.35    8719    5523    1524    1649      43    3499    1022    1048      27     267     242       7     312       6       0
  8.45    9124    5509    1603    1725      42    3449     971    1001      30     264     258      10     342       6       1
  8.55    9107    5741    1641    1681      34    3443    1016    1135      29     254     273       7     299      10       0
