qgdp_f72_pl07m_001_bsub	rgdp_f72_pl07m_001_bsub	sgdp_f72_pl07m_001_bsub
4.0865363367455e-05	3.58398290737903	0.505725405499987
4.59720308775094e-05	2.80744785871867	0.592396646976403
5.17168433482587e-05	2.46314894272988	0.57839000776045
5.81795451692144e-05	2.99011911173663	0.315650885204823
6.54498457659315e-05	2.64689842857303	0.360455832846842
7.3628664840511e-05	3.03583904935866	0.226471985943147
8.28295332152277e-05	2.76957513937215	0.252296456691987
9.3180168722298e-05	2.5480828419353	0.256533299628359
0.000104824249012026	2.97236571177277	0.157995498019475
0.000117923405884231	2.83023847478938	0.161143850328733
0.000132659468821863	2.83976927456694	0.136514603983885
0.000149236988863662	2.561784076494	0.156407364486633
0.000167886077842537	2.45000418152709	0.169781287245409
0.000188865602391973	2.57084829020241	0.12627047199655
0.000212466777044769	2.58593005366194	0.11432917948383
0.000239017206285042	2.73102471279605	0.0899771997826608
0.000268885431642294	2.66153664498295	0.084701564275866
0.000302486046921684	2.67491410155638	0.0788822864728359
0.000340285452544445	2.56229722951235	0.0851317805102532
0.000382808328835611	2.61524527378612	0.0813635359475092
0.000430644918065439	2.6357667429535	0.07585545420386
0.000484459216263982	2.7057674610223	0.0685526968410153
0.000544998188439981	2.56845910278886	0.0760515269880421
0.000613102135019836	2.64865225082249	0.0654410998263407
0.0006897163532755	2.62822492753978	0.0656426674754744
0.000775904255451707	2.56421881964587	0.0656353377126244
0.000872862125480056	2.50716509498665	0.0666834873844781
0.000981935718857905	2.61919909254759	0.0569671291557008
0.00110463893578553	2.50240610218162	0.0600703543826873
0.00124267482634596	2.54142433731495	0.0554441147406931
0.00139795921877175	2.43306219292149	0.0585800327967169
0.00157264729811298	2.42062667991189	0.0563675650534281
0.00176916350339692	2.52752925043761	0.0484013291409864
0.00199023515720794	2.5075459713254	0.0470627699696334
0.00223893029314014	2.49078979157448	0.0451032585321153
0.00251870020448386	2.40784392585679	0.0468024860318863
0.00283342730258471	2.35069507028486	0.0468309928111574
0.00318747894643784	2.33628071158388	0.0451098110644576
0.00358576798723309	2.16915767087806	0.0502199001290619
0.00403382086384849	2.29099722447146	0.0439492942557838
0.0045378541889297	2.3209055132558	0.0458437471087981
0.00510486088156396	2.10743167981218	0.0563528838376761
0.00574270703319229	2.12964808066219	0.0539834156375793
0.00646024084001174	2.04668281941349	0.0577640078235015
0.00726741509960295	1.96841151242464	0.0606207884128466
0.00817542495399342	2.01621815580151	0.0566630846788544
0.00919686276818287	1.8641670887511	0.0640649824911071
0.0103458922649176	1.75022480715881	0.0695935320228648
0.0116384442960843	1.77118187597548	0.0668257084752779
0.0130924369216777	1.71383565894249	0.0687606026303753
0.014728022792374	1.52222634212339	0.080134716545971
0.0165678671951416	1.4106742297737	0.086683400410652
0.0186374605272316	1.31511677020711	0.0924430144457978
0.0209654694168495	1.15089659581615	0.105319590260601
0.0235841312137397	0.933266657767636	0.126326437295928
0.0265296971350862	1.04449446868375	0.110098125301432
0.029842929977159	0.627283492456216	0.159922707043062
0.0335696629969435	0.550276522291547	0.168468699472776
0.0377614273367134	0.429240297068632	0.308191675178586
0.0424761562144513	NAN	6.23502477777626
